一	hh
菖	hb
菘	hm
菜	hj
菝	hf
菟	hh
菠	hd
菡	hw
菥	hm
菩	hi
菪	hn
菰	hz
菱	hy
菲	hx
菸	hi
菹	hd
菽	hy
萁	hb
萃	hi
萄	hh
萆	hb
萋	hh
萌	hb
萍	hd
萎	hu
萏	hh
萑	hv
萘	hr
萜	he
萝	hq
萤	hc
营	ho
萦	hw
萧	he
萨	hp
萱	hn
萸	hu
萼	ho
落	hd
葆	hv
葑	hy
著	hj
葙	hm
葚	hb
葛	hb
葜	hf
葡	hh
董	ht
葩	hb
葫	hx
葬	ht
葭	hz
葱	hh
葳	ha
葵	hx
葶	hi
葸	hq
葺	ho
蒂	hi
蒇	ha
蒈	hl
蒉	hf
蒋	hk
蒌	hx
蒎	hd
蒗	hd
蒙	hh
蒜	ht
蒡	hi
蒯	gh
蒲	hd
蒴	hk
蒸	hw
蒹	hk
蒺	hj
蒽	hq
蒿	hi
蓁	hg
蓄	hi
蓉	hn
蓊	hg
蓍	hj
蓐	hj
蓑	hi
蓓	hv
蓖	hj
蓝	hg
蓟	hu
蓠	hi
蓣	hz
蓥	hz
蓦	hs
蓬	ha
蓰	hv
蓼	he
蓿	hn
蔌	hm
蔑	hq
蔓	hb
蔗	hj
蔚	hp
蔟	hi
蔡	hx
蔫	he
蔬	hn
蔷	hy
蔸	hc
蔹	hv
蔺	hn
蔻	hn
蔼	hi
蔽	hg
蕃	hu
蕈	hq
蕉	hv
蕊	hw
蕖	hd
蕙	hc
蕞	hb
蕤	hs
蕨	hj
蕲	hg
蕴	hw
蕹	hi
蕺	ho
蕻	hu
蕾	ht
薄	hd
薅	ha
薇	hv
薏	hi
薛	hb
薜	hp
薤	ht
薨	ht
薪	hi
薮	hx
薯	hq
薰	ht
薷	ht
薹	yh
藁	hi
藉	hm
藏	ha
藐	hs
藓	hu
藕	hm
藜	hu
藤	hn
藩	hd
藻	hd
藿	ht
蘅	hv
蘑	hj
蘖	hm
蘧	hj
蘩	hv
蘸	hq
蘼	hj
虍	jl
虎	jw
虏	jx
虐	je
虑	jw
虔	ji
虚	jx
虞	jo
虢	jj
虫	cd
虬	cl
虮	cw
虱	nj
虹	ci
虺	wc
虻	ci
虼	cv
虽	oc
虾	cf
虿	tc
蚀	kc
蚁	cd
蚂	cs
蚊	ci
蚋	cn
蚌	cf
蚍	cl
蚓	cw
蚕	hc
蚜	cr
蚝	cl
蚣	cg
蚤	ac
蚧	cv
蚨	cr
蚩	uc
蚪	cd
蚬	cn
蚯	co
蚰	cq
蚱	cv
蚴	cw
蚵	ct
蚶	cb
蚺	cn
蛀	cd
蛄	cx
蛆	cb
蛇	cn
蛉	cv
蛊	qc
蛋	nc
蛎	cj
蛏	ca
蛐	cq
蛑	cu
蛔	cq
蛘	cg
蛙	cy
蛛	cj
蛞	ct
蛟	ci
蛤	cv
蛩	ic
蛭	cu
蛮	ic
蛰	fc
蛱	cr
蛲	ca
蛳	cg
蛴	ci
蛸	cw
蛹	cz
蛾	cj
蜀	qh
蜂	ca
蜃	jc
蜇	fc
蜈	co
蜉	cj
蜊	cu
蜍	cv
蜒	ce
蜓	ct
蜕	cg
蜗	co
蜘	cv
蜚	xc
蜜	nc
蜞	cb
蜡	ch
蜢	cz
蜣	cy
蜥	cm
蜩	cn
蜮	ca
蜱	cb
蜴	cb
蜷	cg
蜻	cy
蜾	cb
蜿	cn
蝇	co
蝈	cq
蝉	cg
蝌	cu
蝎	cb
蝓	cv
蝗	cb
蝙	cp
蝠	ch
蝣	ci
蝤	cg
蝥	rc
蝮	cv
蝰	cr
蝴	cx
蝶	ch
蝻	cx
蝼	cx
蝽	cg
蝾	ch
螂	cd
螃	ci
螅	cb
螈	cj
螋	cu
融	hc
螓	cg
螗	cj
螟	cn
螨	ch
螫	yc
螬	cq
螭	ci
螯	yc
螳	cw
螵	cq
螺	cq
螽	ac
蟀	ci
蟆	ch
蟊	rc
蟋	cu
蟑	ci
蟒	ch
蟓	ch
蟛	cy
蟠	cu
蟥	ch
蟪	cc
蟮	cg
蟹	hc
蟾	ch
蠃	in
蠊	cj
蠓	ch
蠕	ct
蠖	ch
蠛	ch
蠡	oc
蠢	gc
蠲	kq
蠹	hc
蠼	cb
血	qj
衄	jn
衅	jg
行	vg
衍	vd
衔	vz
街	vy
衙	ve
衡	vh
衢	vb
衣	td
衤	td
补	tl
表	yj
衩	ta
衫	tj
衬	tx
衮	ig
衰	io
衲	tn
衷	if
衽	tt
衾	vt
衿	tv
袁	yo
袂	tz
袄	tj
袅	st
袈	xt
袋	vt
袍	th
袒	tb
袖	tq
袜	tm
袢	tg
袤	ir
被	ta
袭	xt
袱	tv
袷	tv
袼	ta
裁	xt
裂	tt
装	kt
裆	tw
裉	tr
裎	to
裒	iu
裔	tn
裕	tg
裘	xt
裙	te
裟	dt
裢	tl
裣	tv
裤	tj
裥	tn
裨	tb
裰	ta
裱	ty
裳	wt
裴	xt
裸	tb
裹	ib
裼	tb
裾	tp
褂	ty
褊	tp
褐	tb
褒	iv
褓	tv
褙	tk
褚	tj
褛	tx
褡	th
褥	tj
褪	tr
褫	tj
褰	nt
褴	tg
褶	te
襁	tw
襄	io
襞	pt
襟	tm
襦	tt
襻	tm
西	qh
要	qa
覃	qb
覆	qv
见	nw
观	an
规	rn
觅	jn
视	tn
觇	ln
览	gn
觉	wn
觊	en
觋	in
觌	xn
觎	vn
觏	on
觐	hn
觑	jn
角	hn
觖	hz
觚	hj
觜	yh
觞	hv
解	hh
觥	hw
触	hc
觫	hm
觯	hg
觳	yw
言	io
訇	hi
訾	yi
詈	qi
詹	hj
誉	wi
誊	gi
誓	fi
謇	ni
謦	yi
警	hi
譬	pi
讠	in
计	ix
订	it
讣	il
认	iv
讥	iw
讦	it
讧	ii
讨	ix
让	iy
讪	ie
讫	iv
训	ig
议	id
讯	in
记	il
讲	io
讳	if
讴	ic
讵	ic
讶	ir
讷	in
许	iv
讹	iv
论	iv
讼	ig
讽	iw
设	iw
访	ii
诀	iz
证	ie
诂	ix
诃	it
评	it
诅	ib
识	io
诈	iv
诉	ij
诊	iv
诋	ic
诌	ih
词	in
诎	iu
诏	ih
译	ia
诒	iu
诓	ic
诔	im
试	ia
诖	iy
诗	iy
诘	iy
诙	ix
诚	ia
诛	ij
诜	if
话	it
诞	ie
诟	ij
诠	iv
诡	ih
询	ih
诣	il
诤	ih
该	ii
详	ig
诧	in
诨	in
诩	ie
诫	ia
诬	ii
语	ie
诮	iw
误	io
诰	if
诱	iu
诲	iv
诳	is
说	ig
诵	iz
诶	iu
请	iy
诸	ij
诹	ip
诺	ih
读	ix
诼	is
诽	ix
课	ib
诿	iu
谀	iu
谁	iv
谂	iv
调	in
谄	ih
谅	ii
谆	ii
谇	ii
谈	ir
谊	in
谋	ib
谌	ib
谍	ih
谎	ih
谏	im
谐	il
谑	ij
谒	ib
谓	iq
谔	io
谕	iv
谖	ij
谗	ih
谘	id
谙	ii
谚	ii
谛	ii
谜	ix
谝	ip
谟	ih
谠	iw
谡	iq
谢	ir
谣	ij
谤	ii
谥	ik
谦	ik
谧	iw
谨	ih
谩	ib
谪	ii
谫	ik
谬	ie
谭	iq
谮	ic
谯	iv
谰	in
谱	ik
谲	ir
谳	ix
谴	if
谵	ih
谶	iv
谷	go
豁	ng
豆	ho
豇	hi
豉	hx
豌	hn
豕	sd
豚	ns
象	hs
豢	gs
豪	is
豫	zh
豳	es
豸	sj
豹	sh
豺	sx
貂	sh
貅	sv
貉	sa
貊	sh
貌	sb
貔	sj
貘	sh
贝	rd
贞	rl
负	rh
贡	ri
财	rx
责	yr
贤	gr
败	ar
账	rk
货	rv
质	jx
贩	rj
贪	rv
贫	rg
贬	rj
购	rh
贮	rn
贯	rq
贰	ar
贱	ra
贲	rx
贳	rh
贴	rl
贵	fr
贶	ro
贷	rv
贸	rc
费	wr
贺	rx
贻	ru
贼	ra
贽	rf
贾	rq
贿	rx
赀	ry
赁	rv
赂	ra
赃	rj
资	rd
赅	ri
赆	rp
赇	rx
赈	rj
赉	rh
赊	rv
赋	rh
赌	rj
赍	rx
赎	rx
赏	rw
赐	rb
赓	jr
赔	ri
赕	rr
赖	mh
赘	ry
赙	rf
赚	rk
赛	rn
赜	cy
赝	jr
赞	rf
赠	rg
赡	rh
赢	in
赣	ia
赤	yx
赦	ay
赧	py
赫	yy
赭	yj
走	yl
赳	yl
赴	yl
赵	yx
赶	yt
起	yl
趁	yv
趄	yb
超	yh
越	yc
趋	yh
趑	yd
趔	yt
趟	yw
趣	yp
趱	yf
足	ol
趴	eg
趵	eh
趸	to
趺	er
趼	eh
趾	ey
趿	ea
跃	ej
跄	ev
跆	eu
跋	ex
跌	ej
跎	en
跏	ex
跑	eh
跖	ep
跗	ev
跚	en
跛	ea
距	ec
跞	ec
跟	er
跣	ef
跤	ei
跨	er
跪	eh
跫	io
跬	ey
路	ea
跳	ex
践	ea
跷	ea
跸	el
跹	et
跺	ew
跻	ei
跽	el
踅	fo
踉	ed
踊	ez
踌	ef
踏	ex
踔	el
踝	eb
踞	ep
踟	ev
踢	eb
踣	ei
踩	ej
踪	en
踬	ej
踮	ej
踯	ek
踱	ej
踵	et
踹	ee
踺	ee
踽	ej
蹀	eh
蹁	ep
蹂	er
蹄	ei
蹇	no
蹈	ej
蹉	eg
蹊	ej
蹋	eb
蹑	ep
蹒	eh
蹙	ao
蹦	ee
蹩	go
蹬	ex
蹭	eg
蹯	eu
蹰	ej
蹲	eg
蹴	ei
蹶	ej
蹼	ex
蹿	en
躁	eo
躅	eq
躇	eh
躏	eh
躐	el
躔	ej
躜	ef
躞	er
身	rj
躬	rw
躯	rc
躲	rw
躺	rw
軎	ho
车	lx
轧	ll
轨	lx
轩	lt
轫	lh
转	lg
轭	lj
轮	lv
软	lh
轰	la
轱	lx
轲	lt
轳	ll
轴	lq
轵	lo
轶	lj
轷	lt
轸	lv
轹	lc
轺	lh
轻	lz
轼	la
载	xl
轾	lu
轿	lj
辁	lv
辂	la
较	li
辄	lp
辅	lf
辆	lh
辇	rl
辈	xl
辉	wn
辊	lb
辋	ln
辍	la
辎	ll
辏	lg
辐	lh
辑	lo
输	lv
辔	wo
辕	ly
辖	ln
辗	lp
辘	lj
辙	li
辚	lx
辛	ix
辜	xi
辞	ti
辟	pi
辣	im
辨	id
辩	ii
辫	iw
辰	jg
辱	jx
辶	zd
边	zx
辽	zw
达	zr
迁	zt
迂	zt
迄	zv
迅	zn
过	zx
迈	zt
迎	zc
运	zg
近	zj
迓	zr
返	zj
迕	zv
还	zt
这	zi
进	zo
远	zh
违	zf
连	zl
迟	zp
迢	zh
迤	zv
迥	zn
迦	zx
迨	zu
迩	zh
迪	zq
迫	zb
迭	zj
迮	zv
述	zm
迳	zz
迷	zx
迸	zk
迹	zi
追	zb
退	zr
送	zk
适	zt
逃	zx
逄	za
逅	zj
逆	zk
选	zf
逊	zz
逋	zf
逍	zw
透	zu
逐	zs
逑	zx
递	zg
途	zv
逖	zs
逗	zh
通	zz
逛	zs
逝	zf
逞	zo
速	zm
造	zf
逡	zu
逢	za
逦	zh
逭	zn
逮	ze
逯	ze
逵	zy
逶	zu
逸	zh
逻	zq
逼	zh
逾	zv
遁	zj
遂	zk
遄	ze
遇	zb
遍	zp
遏	zb
遐	zz
遑	zb
遒	zg
道	zk
遗	zf
遘	zo
遛	zc
遢	zb
遣	zf
遥	zj
遨	zy
遭	zq
遮	zj
遴	zx
遵	zg
遽	zj
避	zp
邀	zb
邂	zh
邃	zn
邈	zs
邋	zl
邑	ol
邓	pa
邕	lo
邗	pt
邙	pi
邛	pi
邝	pj
邡	pi
邢	ph
那	ph
邦	pf
邪	pr
邬	ps
邮	pq
邯	pb
邰	pu
邱	po
邳	pt
邴	ph
邵	ph
邶	pk
邸	pc
邹	ph
邺	px
邻	pv
邾	pj
郁	px
郄	px
郅	pu
郇	ph
郊	pi
郎	pd
郏	pr
郐	pv
郑	pk
郓	pn
郗	px
郛	pj
郜	pf
郝	py
郡	pe
郢	po
郦	ph
郧	po
部	pi
郫	pb
郭	pi
郯	pr
郴	pm
郸	pg
都	pj
郾	pc
鄂	po
鄄	pq
鄙	po
鄞	ph
鄢	pe
鄣	pi
鄯	pg
鄱	pu
鄹	pp
酃	pt
酆	pe
酉	qh
酊	qt
酋	gq
酌	qh
配	ql
酎	qx
酏	ql
酐	qt
酒	dq
酗	qx
酚	qg
酝	qg
酞	qr
酡	qn
酢	qv
酣	qb
酤	qx
酥	qu
酩	qd
酪	qa
酬	qd
酮	qn
酯	ql
酰	qf
酱	kq
酲	qo
酴	qv
酵	qj
酶	qv
酷	qf
酸	qu
酹	qj
酽	qh
酾	qh
酿	qd
醅	qi
醇	qi
醉	qi
醋	qh
醌	qb
醍	qb
醐	qx
醑	qn
醒	qb
醚	qx
醛	qh
醢	qx
醣	qj
醪	qe
醭	qx
醮	qv
醯	qi
醴	qq
醵	qh
醺	qt
采	jm
釉	uq
释	ua
里	yb
重	tb
野	bz
量	bb
金	zh
釜	gg
鉴	gz
銎	iz
銮	iz
鋈	dz
錾	lz
鍪	rz
鎏	dz
鏊	yz
鏖	jz
鐾	pz
鑫	zz
钅	zl
钆	zl
钇	zn
针	zx
钉	zt
钊	gz
钋	zl
钌	zw
钍	zy
钎	zt
钏	zg
钐	zj
钒	zw
钓	zh
钔	zn
钕	za
钗	za
钙	zf
钚	zt
钛	zr
钜	zc
钝	zl
钞	zw
钟	zf
钠	zn
钡	zr
钢	zn
钣	zj
钤	zv
钥	zn
钦	zh
钧	zh
钨	zs
钩	zh
钪	zi
钫	zi
钬	zr
钭	zd
钮	zn
钯	zl
钰	zg
钱	za
钲	ze
钳	zb
钴	zx
钵	zm
钶	zt
钷	zc
钸	zx
钹	zx
钺	zc
钻	zl
钼	zb
钽	zb
钾	zq
钿	zq
铀	zq
铁	zj
铂	zb
铃	zv
铄	zc
铅	zw
铆	zc
铈	zi
铉	zi
铊	zn
铋	zw
铌	zp
铍	za
铎	za
铐	zj
铑	zj
铒	zp
铕	zx
铖	za
铗	zr
铘	zr
铙	za
铛	zw
铜	zn
铝	zo
铞	zo
铟	zq
铠	ze
铡	zr
铢	zj
铣	zf
铤	zt
铥	zt
铧	zv
铨	zv
铩	zx
铪	zv
铫	zx
铬	za
铭	zd
铮	zh
铯	zh
铰	zi
铱	zt
铲	zi
铳	zi
铴	zd
铵	zn
银	zr
铷	za
铸	zf
铹	zh
铺	zf
铼	zh
铽	za
链	zl
铿	zg
销	zw
锁	zw
锂	zb
锃	zo
锄	zb
锅	zo
锆	zf
锇	zj
锈	zu
锉	zv
锊	zj
锋	za
锌	zi
锍	zi
锎	zn
锏	zn
锐	zg
锑	zg
锒	zd
锓	ze
锔	zp
锕	zp
锖	zy
锗	zj
锘	zh
错	zh
锚	zh
锛	zr
锝	zb
锞	zb
锟	zb
锡	zb
锢	zq
锣	zq
锤	zt
锥	zv
锦	zb
锨	zj
锩	zg
锪	zh
锫	zi
锬	zr
锭	zn
键	ze
锯	zp
锰	zz
锱	zl
锲	zf
锴	zl
锵	zk
锶	zq
锷	zo
锸	zt
锹	zu
锺	zt
锻	zj
锼	zu
锾	zj
锿	zi
镀	zj
镁	zg
镂	zx
镄	zw
镅	zp
镆	zh
镇	zx
镉	zh
镊	zp
镌	zv
镍	zb
镎	zv
镏	zc
镐	zi
镑	zi
镒	zk
镓	zn
镔	zn
镖	zq
镗	zw
镘	zb
镙	zq
镛	zj
镜	zi
镝	zi
镞	zi
镟	zi
镡	zq
镢	zj
镣	zr
镤	zx
镥	zu
镦	zi
镧	zn
镨	zk
镩	zn
镪	zw
镫	zx
镬	zh
镭	zt
镯	zq
镰	zj
镱	zi
镲	zn
镳	zj
镶	zi
长	kd
门	nn
闩	nh
闪	nv
闫	ng
闭	nx
问	no
闯	ns
闰	ng
闱	nf
闲	nm
闳	nx
间	nb
闵	ni
闶	ni
闷	nw
闸	nq
闹	ni
闺	ny
闻	np
闼	nr
闽	nc
闾	no
阀	nv
阁	na
阂	ni
阃	nq
阄	nh
阅	ng
阆	nd
阈	na
阉	nr
阊	nb
阋	nu
阌	nj
阍	nc
阎	nh
阏	ni
阐	ng
阑	nm
阒	nb
阔	nd
阕	nx
阖	ny
阗	nx
阙	nk
阚	nn
阜	bx
阝	pi
队	pv
阡	pt
阢	pw
阪	pj
阮	ph
阱	po
防	pi
阳	pb
阴	pn
阵	pl
阶	pv
阻	pb
阼	pv
阽	pl
阿	pt
陀	pn
陂	pa
附	pv
际	pt
陆	pf
陇	px
陈	pl
陉	pz
陋	ph
陌	ph
降	pa
限	pr
陔	pi
陕	pr
陛	pl
陟	py
陡	py
院	pn
除	pv
陧	pb
陨	po
险	pv
陪	pi
陬	pp
陲	pt
陴	pb
陵	py
陶	ph
陷	ph
隅	pb
隆	pa
隈	pq
隋	px
隍	pb
随	px
隐	ph
隔	ph
隗	pb
隘	pk
隙	pw
障	pi
隧	pk
隰	pb
隳	pv
隶	ex
隹	vi
隼	vx
隽	vh
难	av
雀	wv
雁	jv
雄	xv
雅	rv
集	vm
雇	pv
雉	vv
雌	yv
雍	iw
雎	bv
雏	hv
雒	av
雕	nv
雠	vi
雨	td
雩	tg
雪	te
雯	ti
雳	tj
零	tv
雷	tq
雹	th
雾	ta
需	tt
霁	ti
霄	tw
霆	tt
震	tj
霈	td
霉	tv
霍	tv
霎	tx
霏	tx
霓	tu
霖	tm
霜	tm
霞	tz
霪	td
霭	ti
霰	th
露	te
霸	th
霹	tp
霾	ts
青	yn
靓	yn
靖	iy
静	yh
靛	yn
非	xh
靠	fx
靡	jx
面	tq
靥	jt
革	ho
靳	hj
靴	hv
靶	hl
靼	hb
鞅	hn
鞋	hy
鞍	hn
鞑	hr
鞒	hj
鞔	hh
鞘	hw
鞠	hh
鞣	hr
鞫	hh
鞭	hv
鞯	hh
鞲	ho
鞴	hh
韦	fi
韧	fh
韩	xf
韪	bf
韫	fb
韬	fj
韭	xh
音	ib
韵	ih
韶	ih
页	rt
顶	tt
顷	lt
顸	tt
项	it
顺	gt
须	jt
顼	gt
顽	ht
顾	jt
顿	lt
颀	jt
颁	gt
颂	gt
颃	it
预	zt
颅	lt
领	vt
颇	at
颈	zt
颉	yt
颊	rt
颌	vt
颍	lt
颏	it
颐	ct
频	yt
颓	ut
颔	vt
颖	lt
颗	bt
题	bt
颚	ot
颛	et
颜	it
额	nt
颞	pt
颟	ht
颠	xt
颡	at
颢	bt
颤	it
颥	tt
颦	yb
颧	ht
风	wx
飑	wh
飒	iw
飓	wb
飕	wu
飘	qw
飙	rw
飚	wr
飞	nj
食	kd
飧	dk
飨	wk
餍	jk
餐	lk
餮	tk
饔	ik
饕	ok
饣	kl
饥	kw
饧	kn
饨	kl
饩	kk
饪	kt
饫	kj
饬	kv
饭	kj
饮	kh
饯	ka
饰	kv
饱	kh
饲	kn
饴	ku
饵	kp
饶	ka
饷	kj
饺	ki
饼	kk
饽	kx
饿	kj
馀	kv
馁	kj
馄	kb
馅	kh
馆	kn
馇	km
馈	kf
馊	ku
馋	kh
馍	kh
馏	kc
馐	kg
馑	kh
馒	kb
馓	kh
馔	kl
馕	kh
首	kb
馗	xk
馘	ka
香	ub
馥	uv
馨	yu
马	sh
驭	sa
驮	sr
驯	sg
驰	sl
驱	sc
驳	sx
驴	sp
驵	sb
驶	so
驷	sq
驸	sv
驹	sh
驺	sh
驻	sd
驼	sn
驽	as
驾	xs
驿	sa
骀	su
骁	sa
骂	os
骄	sj
骅	sv
骆	sa
骇	si
骈	sk
骊	sh
骋	sq
验	sv
骏	su
骐	sb
骑	sr
骒	sb
骓	sv
骖	su
骗	sp
骘	ps
骚	sa
骛	rs
骜	ys
骝	sc
骞	ns
骟	sp
骠	sq
骡	sq
骢	sj
骣	sp
骤	sp
骥	sk
骧	si
骨	rh
骰	rw
骱	rv
骶	rc
骷	rx
骸	ri
骺	rj
骼	ra
髀	rb
髁	rb
髂	rn
髅	rx
髋	rn
髌	rn
髑	rq
髓	rx
高	in
髟	uj
髡	uw
髦	ul
髫	uh
髭	uy
髯	un
髹	uv
髻	uy
鬃	un
鬈	ug
鬏	uu
鬓	un
鬟	uq
鬣	ul
鬯	xl
鬲	hn
鬻	wh
鬼	bu
魁	bd
魂	gb
魃	bx
魄	bb
魅	bm
魇	jb
魈	bw
魉	bh
魍	bn
魏	ub
魑	bi
魔	jb
鱼	uh
鱿	ux
鲁	ub
鲂	ui
鲅	ux
鲆	ut
鲇	ul
鲈	ul
鲋	uv
鲍	uh
鲎	wu
鲐	uu
鲑	uy
鲒	uy
鲔	ux
鲕	ut
鲚	ui
鲛	ui
鲜	ug
鲞	gu
鲟	ue
鲠	uh
鲡	uh
鲢	ul
鲣	ug
鲤	ub
鲥	ub
鲦	ua
鲧	uj
鲨	du
鲩	un
鲫	ur
鲭	uy
鲮	uy
鲰	up
鲱	ux
鲲	ub
鲳	ub
鲴	uq
鲵	uu
鲶	uv
鲷	un
鲸	ui
鲺	un
鲻	ul
鲼	ux
鲽	uh
鳃	uq
鳄	uo
鳅	uu
鳆	uv
鳇	ub
鳊	up
鳋	ua
鳌	yu
鳍	uj
鳎	ub
鳏	uq
鳐	uj
鳓	uh
鳔	uq
鳕	ut
鳖	gu
鳗	ub
鳘	vu
鳙	uj
鳜	uj
鳝	ug
鳞	ux
鳟	ug
鳢	uq
鸟	sh
鸠	sx
鸡	sa
鸢	as
鸣	so
鸥	sc
鸦	sr
鸨	sl
鸩	sn
鸪	sx
鸫	sl
鸬	sl
鸭	sq
鸯	ns
鸱	sc
鸲	sh
鸳	ds
鸵	sn
鸶	ws
鸷	fs
鸸	st
鸹	st
鸺	sv
鸽	sv
鸾	is
鸿	ds
鹁	sx
鹂	sh
鹃	so
鹄	sf
鹅	sj
鹆	sg
鹇	sn
鹈	sg
鹉	sh
鹊	sh
鹋	sh
鹌	sr
鹎	sb
鹏	sn
鹑	si
鹕	sx
鹗	so
鹘	sr
鹚	sk
鹛	sp
鹜	rs
鹞	sj
鹣	sk
鹤	sn
鹦	sr
鹧	sj
鹨	se
鹩	sr
鹪	sv
鹫	is
鹬	sr
鹭	es
鹰	js
鹱	sh
鹳	sh
鹾	lg
鹿	jl
麂	jw
麇	ju
麈	jd
麋	jx
麒	jb
麓	mj
麝	jr
麟	jx
麦	ya
麴	mh
麸	yr
麻	jm
麽	jj
麾	jl
黄	hq
黉	wh
黍	uv
黎	uv
黏	ul
黑	dq
黔	qv
默	qr
黛	vq
黜	qu
黝	qw
黟	qd
黠	qy
黢	qu
黥	qi
黧	uq
黩	qx
黪	qu
黯	qi
黹	xg
黻	xx
黼	xf
黾	ob
鼋	ho
鼍	oo
鼎	bl
鼐	hb
鼓	yx
鼗	xy
鼙	yb
鼠	ul
鼢	ug
鼬	uq
鼯	ue
鼷	uj
鼹	ub
鼻	bq
鼽	bx
鼾	bt
齄	bm
齐	ig
齑	ix
齿	yv
龀	yl
龃	yb
龄	yv
龅	yh
龆	yh
龇	ym
龈	yr
龉	ye
龊	yo
龋	yj
龌	yp
龙	xl
龚	xh
龛	vx
龟	hb
龠	vn
镕	zn
瞭	br
窣	ni
窸	nw
鹮	qs
跶	or
祎	tf
鸮	os
禛	tx
镚	ze
啫	oj
嬛	aq
瘆	ju
啰	oq
喆	yy
嘚	ov
垚	yy
彧	ao
焗	rp
玥	gn
珅	gb
瑄	gn
囧	qg
屌	po
碁	bp
嬅	ah
觍	qn
